Reading lines...
Read 6185 sentence pairs
Counting words...
Counted words:
ALL_SRC 129
ALL_TAR 31
Reading lines...
Read 1237 sentence pairs
Counting words...
Counted words:
TEST_2_SRC 126
TEST_2_TAR 31
sentence, trueltl, rank, variants, goodvariants
"always avoid the purple room while navigating to landmark three .", "F ( landmark_3 & ~purple_room )", 0, 10, 7
"go to landmark two through the blue room", "F ( blue_room & F ( landmark_2 ) )", 0, 10, 9
"go to the blue room avoiding landmark one .", "F ( blue_room & ~landmark_1 )", 0, 10, 8
"avoid the red room until navigating to the green room .", "~ ( red_room ) U ( green_room )", 3, 10, 10
"avoid the red room and go to the third floor .", "F ( third_floor & ~red_room )", 1, 10, 8
"avoid the green room until navigating to the red room .", "~ ( green_room ) U ( red_room )", 0, 10, 10
"remain on the onest floor and go directly to the red room .", "F ( red_room ) & G ( third_floor )", 1, 10, 8
"navigate to the first floor and avoid landmark two .", "F ( first_floor & ~landmark_2 )", 0, 10, 9
"navigate to landmark one through the purple room .", "F ( purple_room & F ( landmark_1 ) )", 0, 10, 10
"first go to landmark two then go to the purple room .", "F ( landmark_2 & F ( purple_room ) )", 0, 10, 10
"move towards red room and then to first floor .", "F ( red_room & F ( first_floor ) )", 0, 10, 9
"travel through the blue room then go to the orange room .", "F ( blue_room & F ( orange_room ) )", 0, 10, 10
"go to landmark two while always avoiding the red room .", "F ( landmark_2 & ~red_room )", 0, 10, 8
"go to the purple room while avoiding the orange room and if you have reached the purple room then you can go to the orange room .", "~ ( orange_room ) U ( purple_room )", 2, 10, 9
"navigate to the first floor through the green room .", "F ( green_room & F ( first_floor ) )", 0, 10, 10
"avoid the green room on your way to the red room . once you get to the red room you can to the green room .", "~ ( green_room ) U ( red_room )", 0, 10, 10
"go to the purple room and avoid landmark one .", "F ( purple_room & ~landmark_1 )", 0, 10, 10
"from the second floor navigate to the green room .", "F ( second_floor & F ( green_room ) )", 0, 10, 10
"go to the orange room avoiding landmark one .", "F ( orange_room & ~landmark_1 )", 0, 10, 9
"go to the landmark two", "F ( landmark_2 )", 0, 10, 7
"head to landmark one without changing floors .", "F ( landmark_1 ) & G ( third_floor )", 0, 10, 9
"go to the second floor but avoid the blue room .", "F ( second_floor & ~blue_room )", 0, 10, 10
"go to the third floor but never go to the blue room .", "F ( third_floor & ~blue_room )", 0, 10, 5
"always avoid the purple room while navigating to the second floor .", "F ( second_floor & ~purple_room )", 0, 10, 8
"go to landmark one only through the twond floor", "F ( landmark_1 ) & G ( second_floor )", 1, 10, 10
"go to the third floor but avoid landmark two .", "F ( third_floor & ~landmark_2 )", 0, 10, 10
"go to the second floor and avoid the purple room .", "F ( second_floor & ~purple_room )", 0, 10, 7
"move to the second floor without entering the yellow room .", "F ( second_floor & ~yellow_room )", 0, 10, 9
"go to the yellow room and avoid landmark one .", "F ( yellow_room & ~landmark_1 )", 0, 10, 7
"go through landmark three to the first floor .", "F ( landmark_3 & F ( first_floor ) )", 0, 10, 9
"go to the yellow room and go down to the onest floor .", "F ( yellow_room & F ( first_floor ) )", 0, 10, 10
"move towards purple room and then to third floor .", "F ( purple_room & F ( third_floor ) )", 0, 10, 8
"avoid the green room until going to the second floor .", "~ ( green_room ) U ( second_floor )", 0, 10, 8
"head to the yellow room and then head to the third floor .", "F ( yellow_room & F ( third_floor ) )", 0, 10, 10
"first navigate to the blue room then make your way to the orange room .", "F ( blue_room & F ( orange_room ) )", 0, 10, 10
"avoid the green room and go to landmark two .", "F ( landmark_2 & ~green_room )", 0, 10, 6
"avoid the orange room until you go to landmark three .", "~ ( orange_room ) U ( landmark_3 )", 0, 10, 8
"avoid landmark three until you pass through orange room .", "~ ( landmark_3 ) U ( orange_room )", 0, 10, 6
"go through the second floor to the blue room .", "F ( second_floor & F ( blue_room ) )", 0, 10, 8
"navigate to landmark one then continue to the purple room .", "F ( landmark_1 & F ( purple_room ) )", 0, 10, 10
"go to or through the twond floor while avoiding going through the green room", "~ ( green_room ) U ( third_floor )", 0, 10, 9
"go to the red room avoiding the purple room . only if you reached the red room then you may proceed to the purple room .", "~ ( purple_room ) U ( red_room )", 1, 10, 10
"go to the yellow room without going to landmark three .", "F ( yellow_room & ~landmark_3 )", 0, 10, 7
"navigate to the first floor via the yellow room .", "F ( yellow_room & F ( first_floor ) )", 0, 10, 10
"avoid going through landmark three until you go through the blue room .", "~ ( landmark_3 ) U ( blue_room )", 0, 10, 6
"head to landmark two without changing floors .", "F ( landmark_2 ) & G ( second_floor )", 2, 10, 7
"go to purple room and then to green room", "F ( purple_room & F ( green_room ) )", 0, 10, 10
"always go through the purple room to get to the yellow room .", "F ( purple_room & F ( yellow_room ) )", 0, 10, 10
"head to the purple room but first go to the second floor .", "F ( second_floor & F ( purple_room ) )", 0, 10, 10
"go to landmark one while always avoiding the orange room", "F ( landmark_1 & ~orange_room )", 0, 10, 9
"always go through the yellow room before going to landmark three .", "F ( yellow_room & F ( landmark_3 ) )", 4, 10, 8
"go to landmark two and always avoid the red room", "F ( landmark_2 & ~red_room )", 0, 10, 8
"always avoid landmark two and navigate to the yellow room .", "F ( yellow_room & ~landmark_2 )", 0, 10, 4
"go to landmark three and then the purple room", "F ( landmark_3 & F ( purple_room ) )", 0, 10, 10
"avoid the orange room and navigate to the red room .", "F ( red_room & ~orange_room )", 0, 10, 9
"go to or through the orange room . always avoid going to the orange room through landmark three", "~ ( landmark_3 ) U ( orange_room )", 0, 10, 6
"go to or through the orange room . always avoid going to the orange room through landmark one", "~ ( landmark_1 ) U ( orange_room )", 0, 10, 6
"always avoid the orange room go to landmark two .", "F ( landmark_2 & ~orange_room )", 0, 10, 7
"go to the purple room by touching the green room .", "F ( green_room & F ( purple_room ) )", 3, 10, 10
"avoid the red room before you navigate to the third floor .", "~ ( red_room ) U ( third_floor )", 0, 10, 9
"go through the purple room then make your way to landmark one .", "F ( purple_room & F ( landmark_1 ) )", 0, 10, 10
"stay on the third floor while going to the blue room .", "F ( blue_room ) & G ( third_floor )", 0, 10, 6
"go to landmark one always avoiding the purple room .", "F ( landmark_1 & ~purple_room )", 0, 10, 8
"go through the first floor and navigate to the orange room .", "F ( first_floor & F ( orange_room ) )", 0, 10, 10
"avoid the red room until after navigating to the yellow room .", "~ ( red_room ) U ( yellow_room )", 0, 10, 10
"go to the third floor then go to the first floor .", "F ( third_floor & F ( first_floor ) )", 1, 10, 10
"go to the third floor and then go to the purple room .", "F ( third_floor & F ( purple_room ) )", 0, 10, 9
"avoid the blue room navigate to the orange room .", "F ( orange_room & ~blue_room )", 0, 10, 10
"move to landmark one but avoid landmark three .", "F ( landmark_1 & ~landmark_3 )", 4, 10, 7
"go through the purple room to landmark one .", "F ( purple_room & F ( landmark_1 ) )", 1, 10, 10
"go from the orange room to the purple room", "F ( orange_room & F ( purple_room ) )", 0, 10, 10
"avoid the purple room until after you ve gone to the blue room .", "~ ( purple_room ) U ( blue_room )", 0, 10, 10
"go to the blue room then go to the green room .", "F ( blue_room & F ( green_room ) )", 0, 10, 10
"go to landmark two via the third floor .", "F ( third_floor & F ( landmark_2 ) )", 0, 10, 7
"avoid the purple room until after going to the second floor .", "~ ( purple_room ) U ( second_floor )", 0, 10, 9
"avoid landmark one while traveling to landmark two . once there you may travel to landmark one .", "~ ( landmark_1 ) U ( landmark_2 )", 0, 10, 10
"proceed to the purple room by going through the orange room .", "F ( orange_room & F ( purple_room ) )", 2, 10, 10
"go to the blue room without going to the red room . if you reached the blue room now you can go to the red room .", "~ ( red_room ) U ( blue_room )", 1, 10, 10
"go to landmark one but do not first go through the red room .", "~ ( red_room ) U ( landmark_1 )", 0, 10, 9
"go to the third floor . if you reached the third floor then you may go to the red room .", "~ ( red_room ) U ( third_floor )", 0, 10, 9
"avoid landmark one until after reaching landmark three .", "~ ( landmark_1 ) U ( landmark_3 )", 0, 10, 6
"go to landmark three through the red room .", "F ( red_room & F ( landmark_3 ) )", 0, 10, 9
"go to the yellow room avoiding landmark one .", "F ( yellow_room & ~landmark_1 )", 0, 10, 8
"go to the third floor via landmark two .", "F ( landmark_2 & F ( third_floor ) )", 0, 10, 10
"avoid the orange room until after you ve gone to the red room .", "~ ( orange_room ) U ( red_room )", 1, 10, 10
"go to the red room and then go to the green room .", "F ( red_room & F ( green_room ) )", 3, 10, 10
"avoid going through landmark three until you go through the green room .", "~ ( landmark_3 ) U ( green_room )", 0, 10, 10
"without leaving the first floor go to the yellow room .", "F ( yellow_room ) & G ( first_floor )", 0, 10, 7
"go to the yellow room through the orange room", "F ( orange_room & F ( yellow_room ) )", 0, 10, 10
"go to or through the purple room always avoid going to the purple room through the red room", "~ ( red_room ) U ( purple_room )", 0, 10, 10
"go to landmark three through the onest floor", "F ( second_floor & F ( landmark_3 ) )", 0, 10, 6
"from the second floor navigate to the blue room .", "F ( second_floor & F ( blue_room ) )", 0, 10, 8
"move to the purple room without changing floors .", "F ( purple_room ) & G ( second_floor )", 2, 10, 5
"go through the red room first then go to the orange room .", "F ( red_room & F ( orange_room ) )", 0, 10, 10
"go to the blue room while staying on the third floor .", "F ( blue_room ) & G ( third_floor )", 0, 10, 7
"go through the red room before going to the purple room .", "F ( red_room & F ( purple_room ) )", 0, 10, 10
"avoid the blue room until going through landmark two .", "~ ( blue_room ) U ( landmark_2 )", 0, 10, 10
"while always avoiding the purple room go to landmark two .", "F ( landmark_2 & ~purple_room )", 0, 10, 6
"go to landmark three avoiding the purple room . then go to the purple room or stay on landmark three .", "~ ( purple_room ) U ( landmark_3 )", 0, 10, 6
"go to landmark three without leaving the purple room .", "F ( landmark_3 ) & G ( purple_room )", 0, 10, 5
"go to the third floor then move to the blue room .", "F ( third_floor & F ( blue_room ) )", 0, 10, 7
"go to landmark three then go to the blue room .", "F ( landmark_3 & F ( blue_room ) )", 0, 10, 8
"avoid the first and third floor and go to landmark one .", "F ( landmark_1 ) & G ( second_floor )", 5, 10, 9
"move to landmark one but travel to the onest floor first .", "F ( second_floor & F ( landmark_1 ) )", 3, 10, 10
"always pass landmark two to get to level one .", "F ( landmark_2 & F ( first_floor ) )", 0, 10, 10
"avoid landmark two and go to the purple room .", "F ( purple_room & ~landmark_2 )", 0, 10, 7
"go through landmark two and navigate to the blue room .", "F ( landmark_2 & F ( blue_room ) )", 0, 10, 10
"proceed to the yellow room without going to any other floors .", "F ( yellow_room ) & G ( third_floor )", 2, 10, 7
"go to landmark three and always avoid the green room", "F ( landmark_3 & ~green_room )", 0, 10, 9
"go to the first floor while always avoiding the red room .", "F ( first_floor & ~red_room )", 0, 10, 10
"always avoid the orange room to navigate to landmark one .", "F ( landmark_1 & ~orange_room )", 0, 10, 6
"go through the orange room to landmark one .", "F ( orange_room & F ( landmark_1 ) )", 0, 10, 10
"navigate to landmark one through the orange room .", "F ( orange_room & F ( landmark_1 ) )", 0, 10, 10
"go to the second floor after you go to the third floor .", "F ( third_floor & F ( second_floor ) )", 0, 10, 10
"always avoid the purple room while navigating to landmark one .", "F ( landmark_1 & ~purple_room )", 0, 10, 8
"go from onest floor to landmark three .", "F ( second_floor & F ( landmark_3 ) )", 3, 10, 8
"go to the red room through the second floor .", "F ( second_floor & F ( red_room ) )", 0, 10, 9
"go to landmark three avoiding the green room . then go to the green room or stay on landmark three .", "~ ( green_room ) U ( landmark_3 )", 0, 10, 6
"stay away from the yellow room and go to landmark two .", "F ( landmark_2 & ~yellow_room )", 0, 10, 6
"go to the blue room before going to the green room .", "F ( blue_room & F ( green_room ) )", 0, 10, 10
"go to the twond floor then go to the purple room", "F ( second_floor & F ( purple_room ) )", 1, 10, 10
"first navigate to the green room then make your way to the orange room .", "F ( green_room & F ( orange_room ) )", 0, 10, 10
"remain on the first floor while going to the green room .", "F ( green_room ) & G ( first_floor )", 0, 10, 10
"avoid the blue room and go to the first floor .", "F ( first_floor & ~blue_room )", 0, 10, 6
"navigate to the third floor and avoid landmark two .", "F ( third_floor & ~landmark_2 )", 0, 10, 8
"go to landmark one and then the green room", "F ( landmark_1 & F ( green_room ) )", 0, 10, 9
"go to the threerd floor but do not go to landmark two .", "F ( first_floor & ~landmark_2 )", 3, 10, 10
"head to the orange room and then head to the second floor .", "F ( orange_room & F ( second_floor ) )", 0, 10, 10
"go to landmark two through the green room .", "F ( green_room & F ( landmark_2 ) )", 0, 10, 9
"go to the yellow room and then navigate to the green room .", "F ( yellow_room & F ( green_room ) )", 2, 10, 10
"navigate to the orange room always avoiding the yellow room .", "F ( orange_room & ~yellow_room )", 0, 10, 8
"avoid the purple room until you go through the blue room .", "~ ( purple_room ) U ( blue_room )", 0, 10, 9
"go to the first floor always avoiding the purple room .", "F ( first_floor & ~purple_room )", 0, 10, 8
"go to landmark one always avoiding the yellow room .", "F ( landmark_1 & ~yellow_room )", 0, 10, 8
"go to the first floor via landmark two .", "F ( landmark_2 & F ( first_floor ) )", 0, 10, 10
"go through the purple room and navigate to the first floor .", "F ( purple_room & F ( first_floor ) )", 0, 10, 10
"go to landmark two without changing floors", "F ( landmark_2 ) & G ( second_floor )", 2, 10, 7
"go to landmark two and always avoid the orange room", "F ( landmark_2 & ~orange_room )", 0, 10, 9
"go to landmark two", "F ( landmark_2 )", 0, 10, 5
"go to the green room while avoiding landmark three", "F ( green_room & ~landmark_3 )", 0, 10, 8
"go to the purple room through the third floor", "F ( third_floor & F ( purple_room ) )", 0, 10, 9
"go to the third floor and avoid landmark two .", "F ( third_floor & ~landmark_2 )", 0, 10, 8
"go to landmark three always avoiding the yellow room .", "F ( landmark_3 & ~yellow_room )", 0, 10, 9
"head to the yellow room but make sure to go through the orange room first .", "F ( orange_room & F ( yellow_room ) )", 0, 10, 10
"always go through the yellow room and then to landmark three .", "F ( yellow_room & F ( landmark_3 ) )", 0, 10, 8
"navigate to the second floor always passing through the first floor .", "F ( first_floor & F ( second_floor ) )", 2, 10, 10
"always avoid the blue room and navigate to the third floor .", "F ( third_floor & ~blue_room )", 0, 10, 5
"pass through landmark one before going to the first floor .", "F ( landmark_1 & F ( first_floor ) )", 0, 10, 10
"go to the orange room through the red room .", "F ( red_room & F ( orange_room ) )", 0, 10, 10
"navigate from the first floor to the yellow room .", "F ( first_floor & F ( yellow_room ) )", 0, 10, 9
"advance to landmark one but always avoid the green room .", "F ( landmark_1 & ~green_room )", 0, 10, 10
"navigate to the orange room after going to the third floor .", "F ( third_floor & F ( orange_room ) )", 0, 10, 9
"remain on the onest floor and go directly to the yellow room .", "F ( yellow_room ) & G ( third_floor )", 2, 10, 8
"go to landmark three by only navigating within the blue room .", "F ( landmark_3 ) & G ( blue_room )", 0, 10, 5
"avoid the blue room until you go to landmark two .", "~ ( blue_room ) U ( landmark_2 )", 0, 10, 10
"move to the green room first then travel to landmark three .", "F ( green_room & F ( landmark_3 ) )", 0, 10, 10
"go to the threerd floor but avoid landmark two .", "F ( second_floor & ~landmark_2 )", 1, 10, 10
"proceed to the yellow room without going to any other floors .", "F ( yellow_room ) & G ( second_floor )", 0, 10, 7
"go from the first floor to the purple room .", "F ( first_floor & F ( purple_room ) )", 0, 10, 9
"navigate through landmark three and go to the purple room .", "F ( landmark_3 & F ( purple_room ) )", 0, 10, 9
"go to the first floor and then head to landmark one .", "F ( first_floor & F ( landmark_1 ) )", 0, 10, 9
"go to or through the red room always avoid going to the red room through landmark two", "~ ( landmark_2 ) U ( red_room )", 0, 10, 8
"visit the orange room and then move to the third floor .", "F ( orange_room & F ( third_floor ) )", 0, 10, 9
"go to the first floor while always avoiding the blue room .", "F ( first_floor & ~blue_room )", 0, 10, 10
"go through the third floor to the yellow room", "F ( third_floor & F ( yellow_room ) )", 0, 10, 7
"start on the threerd floor go directly to the onest floor .", "F ( first_floor & F ( second_floor ) )", 5, 10, 10
"stay in the orange room and go to landmark one", "F ( landmark_1 ) & G ( orange_room )", 0, 10, 7
"go to the orange room avoiding landmark two . if you reached the orange room then you may go to landmark two .", "~ ( landmark_2 ) U ( orange_room )", 0, 10, 7
"avoid the green room and go to landmark three . if you reached the green room you can now go to the green room or stay on landmark three .", "~ ( green_room ) U ( landmark_3 )", 0, 10, 9
"navigate to landmark three through the red room .", "F ( red_room & F ( landmark_3 ) )", 0, 10, 10
"first navigate to the purple room then make your way to the red room .", "F ( purple_room & F ( red_room ) )", 0, 10, 10
"move to the third floor by going through the yellow room", "F ( yellow_room & F ( third_floor ) )", 0, 10, 10
"go to the red room while staying on the third floor .", "F ( red_room ) & G ( third_floor )", 0, 10, 9
"navigate to the yellow room through the red room .", "F ( red_room & F ( yellow_room ) )", 0, 10, 10
"avoid going through landmark one until you go through the blue room .", "~ ( landmark_1 ) U ( blue_room )", 0, 10, 4
"go through landmark two and navigate to the orange room .", "F ( landmark_2 & F ( orange_room ) )", 0, 10, 9
"always avoid the orange room while navigating to landmark three .", "F ( landmark_3 & ~orange_room )", 0, 10, 6
"pass through the green room before going to the first floor .", "F ( green_room & F ( first_floor ) )", 0, 10, 9
"go to landmark two by avoiding the yellow room and then stay there or continue to the yellow room .", "~ ( yellow_room ) U ( landmark_2 )", 0, 10, 8
"go to the second floor but never go to the yellow room .", "F ( second_floor & ~yellow_room )", 1, 10, 3
"avoid the landmark three and go to the first floor .", "F ( first_floor & ~landmark_3 )", 0, 10, 7
"avoid the green room until passing landmark three .", "~ ( green_room ) U ( landmark_3 )", 0, 10, 7
"navigate to the first floor through the second floor .", "F ( second_floor & F ( first_floor ) )", 3, 10, 9
"stay in the purple room and go to landmark two and stop", "F ( landmark_2 ) & G ( purple_room )", 0, 10, 8
"go through landmark two before going to the red room .", "F ( landmark_2 & F ( red_room ) )", 0, 10, 8
"go to the second floor but do not go through the orange room first .", "~ ( orange_room ) U ( second_floor )", 0, 10, 10
"avoid the blue room and go to landmark two", "F ( landmark_2 & ~blue_room )", 0, 10, 7
"navigate to the third floor via the orange room .", "F ( orange_room & F ( third_floor ) )", 0, 10, 10
"move to landmark two after moving to the third floor .", "F ( third_floor & F ( landmark_2 ) )", 0, 10, 8
"avoid the green room until going to the purple room .", "~ ( green_room ) U ( purple_room )", 0, 10, 10
"go to the twond floor while always avoiding the green room", "F ( second_floor & ~green_room )", 1, 10, 10
"go to landmark two then go to the yellow room .", "F ( landmark_2 & F ( yellow_room ) )", 0, 10, 7
"go to the orange room by avoiding landmark two . if you reached the orange room then you can proceed to landmark two .", "~ ( landmark_2 ) U ( orange_room )", 0, 10, 7
"move to the purple room but ensure to go to the twond floor first .", "F ( first_floor & F ( purple_room ) )", 0, 10, 10
"go to the first floor by first going through the purple room .", "F ( purple_room & F ( first_floor ) )", 0, 10, 9
"go to landmark three by avoiding the purple room and then stay there or continue to the purple room .", "~ ( purple_room ) U ( landmark_3 )", 0, 10, 8
"avoid landmark one until you go to landmark three .", "~ ( landmark_1 ) U ( landmark_3 )", 0, 10, 6
"go to the threerd floor but do not go to landmark one .", "F ( second_floor & ~landmark_1 )", 1, 10, 10
"go to landmark one while staying on the first floor .", "F ( landmark_1 ) & G ( first_floor )", 0, 10, 10
"go to landmark one and always avoid the yellow room", "F ( landmark_1 & ~yellow_room )", 0, 10, 9
"move to the third floor but go through landmark one first .", "F ( landmark_1 & F ( third_floor ) )", 0, 10, 8
"go through the green room before going to landmark one", "~ ( landmark_1 ) U ( green_room )", -1, 10, 10
"go to landmark two through the orange room", "F ( orange_room & F ( landmark_2 ) )", 0, 10, 10
"avoid the red room and go to the third floor . if you reached the third floor then you may go to the red room or just stay on the third floor .", "~ ( red_room ) U ( third_floor )", 0, 10, 9
"go to landmark one before going to the third floor .", "F ( landmark_1 & F ( third_floor ) )", 0, 10, 8
"avoid landmark two and go to the second floor .", "F ( second_floor & ~landmark_2 )", 0, 10, 7
"go to the orange room while avoiding landmark one", "F ( orange_room & ~landmark_1 )", 0, 10, 9
"avoid landmark one and go to the third floor .", "F ( third_floor & ~landmark_1 )", 0, 10, 6
"avoid landmark one until after the blue room", "~ ( landmark_1 ) U ( blue_room )", 0, 10, 5
"first go to landmark one then go to the yellow room .", "F ( landmark_1 & F ( yellow_room ) )", 0, 10, 6
"go to the blue room by avoiding landmark two . if you reached the blue room then you can proceed to landmark two .", "~ ( landmark_2 ) U ( blue_room )", 0, 10, 6
"go through the blue room before going to the purple room .", "F ( blue_room & F ( purple_room ) )", 0, 10, 10
"avoid the yellow room until after navigating to the orange room .", "~ ( yellow_room ) U ( orange_room )", 0, 10, 10
"go through landmark one and then to the onest floor .", "F ( landmark_1 & F ( second_floor ) )", 0, 10, 10
"navigate to the purple room through the red room .", "F ( red_room & F ( purple_room ) )", 3, 10, 10
"move to landmark one . do n t change floors if already on twond floor .", "F ( landmark_1 ) & G ( third_floor )", 0, 10, 9
"go to landmark three while always avoiding the orange room", "F ( landmark_3 & ~orange_room )", 0, 10, 8
"go to landmark two without leaving red room .", "F ( landmark_2 ) & G ( red_room )", 0, 10, 6
"avoid the green room until after navigating to the purple room .", "~ ( green_room ) U ( purple_room )", 0, 10, 10
"move to the orange room but ensure to go to the twond floor first .", "F ( first_floor & F ( orange_room ) )", 2, 10, 10
"go to or through the orange room always avoid going to the orange room through the red room", "~ ( red_room ) U ( orange_room )", 2, 10, 10
"go to the orange room and if you have reached the orange room you may proceed to the red room or stay in the orange room .", "~ ( red_room ) U ( orange_room )", 2, 10, 9
"avoid the first and third floor and go to landmark two .", "F ( landmark_2 ) & G ( second_floor )", 3, 10, 8
"go to the onest floor through the green room", "F ( green_room & F ( third_floor ) )", 0, 10, 10
"go to the third floor always avoiding the orange room .", "F ( third_floor & ~orange_room )", 0, 10, 5
"go to landmark two avoiding the orange room . then go to the orange room or stay on landmark two .", "~ ( orange_room ) U ( landmark_2 )", 0, 10, 8
"move to the second floor but go through landmark one first .", "F ( landmark_1 & F ( second_floor ) )", 0, 10, 8
"go to landmark one by only navigating within the yellow room .", "F ( landmark_1 ) & G ( yellow_room )", 0, 10, 7
"while remaining within the green room go to landmark two .", "F ( landmark_2 ) & G ( green_room )", 0, 10, 10
"always avoid landmark two and navigate to the orange room .", "F ( orange_room & ~landmark_2 )", 0, 10, 10
"go from onest floor to landmark one .", "F ( second_floor & F ( landmark_1 ) )", 3, 10, 10
"stay in the orange room and go to landmark two", "F ( landmark_2 ) & G ( orange_room )", 0, 10, 7
"proceed to the purple room but do n t leave the second floor .", "F ( purple_room ) & G ( second_floor )", 0, 10, 7
"go to the blue room and then navigate to the purple room .", "F ( blue_room & F ( purple_room ) )", 0, 10, 10
"go to the red room only through the onest floor", "F ( red_room ) & G ( first_floor )", 0, 10, 9
"go to the yellow room while always avoiding the orange room", "F ( yellow_room & ~orange_room )", 0, 10, 9
"avoid the yellow room until after going to the second floor .", "~ ( yellow_room ) U ( second_floor )", 0, 10, 10
"go through the blue room before going to landmark three", "F ( blue_room & F ( landmark_3 ) )", 4, 10, 8
"go to landmark one by only navigating within the blue room .", "F ( landmark_1 ) & G ( blue_room )", 0, 10, 5
"go to landmark three avoiding the yellow room . then go to the yellow room or stay on landmark three .", "~ ( yellow_room ) U ( landmark_3 )", 0, 10, 7
"from the second floor navigate to the orange room .", "F ( second_floor & F ( orange_room ) )", 0, 10, 8
"do not go into the blue room until going to landmark two", "~ ( blue_room ) U ( landmark_2 )", 0, 10, 10
"head to landmark three after going to the green room .", "F ( green_room & F ( landmark_3 ) )", 0, 10, 9
"go to the yellow room via landmark three .", "F ( landmark_3 & F ( yellow_room ) )", 0, 10, 8
"move to the first floor travelling through the blue room .", "F ( blue_room & F ( first_floor ) )", 0, 10, 7
"avoid landmark three and go to the purple room .", "F ( purple_room & ~landmark_3 )", 0, 10, 9
"while always avoiding the green room go to landmark one .", "F ( landmark_1 & ~green_room )", 0, 10, 4
"avoid the yellow room until you go through the green room .", "~ ( yellow_room ) U ( green_room )", 3, 10, 10
"avoid the blue room and go to landmark three .", "F ( landmark_3 & ~blue_room )", 0, 10, 7
"go through the purple room first then go to the orange room .", "F ( purple_room & F ( orange_room ) )", 1, 10, 10
"move to the first floor by going through the red room", "F ( red_room & F ( first_floor ) )", 0, 10, 10
"avoid the blue room until going through landmark one .", "~ ( blue_room ) U ( landmark_1 )", 0, 10, 10
"always avoid going to landmark two through the blue room", "~ ( blue_room ) U ( landmark_2 )", 1, 10, 8
"go to the purple room then go to the second floor .", "F ( purple_room & F ( second_floor ) )", 0, 10, 9
"navigate to the red room then continue to landmark two .", "F ( red_room & F ( landmark_2 ) )", 0, 10, 10
"go through landmark three and then to the onest floor .", "F ( landmark_3 & F ( third_floor ) )", 2, 10, 10
"go through the yellow room before going to the third floor .", "F ( yellow_room & F ( third_floor ) )", 0, 10, 10
"go to the orange room by first going through the green room .", "F ( green_room & F ( orange_room ) )", 0, 10, 10
"go to the purple room without going to the red room . if you reached the purple room now you can go to the red room .", "~ ( red_room ) U ( purple_room )", 3, 10, 10
"go to the onest floor through landmark three", "F ( landmark_3 & F ( second_floor ) )", 1, 10, 10
"go from the blue room to the purple room", "F ( blue_room & F ( purple_room ) )", 0, 10, 10
"proceed to the green room by going through the orange room .", "F ( orange_room & F ( green_room ) )", 1, 10, 10
"go to the blue room while avoiding the orange room and if you have reached the blue room then you can go to the orange room .", "~ ( orange_room ) U ( blue_room )", 0, 10, 9
"avoid the yellow room and go to the green room .", "F ( green_room & ~yellow_room )", 0, 10, 10
"always avoid the yellow room go to landmark two .", "F ( landmark_2 & ~yellow_room )", 0, 10, 8
"move to the second floor by going through the red room", "F ( red_room & F ( second_floor ) )", 0, 10, 9
"proceed to landmark two but never move outside of the orange room .", "F ( landmark_2 ) & G ( orange_room )", 0, 10, 6
"go through the third floor to the green room", "F ( third_floor & F ( green_room ) )", 0, 10, 10
"go directly to the red room without changing floors .", "F ( red_room ) & G ( second_floor )", 2, 10, 8
